AI_Mode,Crew,Storm_Prob,Avg_Days,Max_Days,Min_Days,Std_Days
Balanced Recovery,3,0.02,50.73625,67.29166666666667,30.25,6.270591371883484
Balanced Recovery,3,0.05,49.90591666666666,65.91666666666667,29.708333333333332,6.310438601799646
Balanced Recovery,3,0.1,49.95758333333334,67.16666666666667,28.666666666666668,6.507758448771366
Balanced Recovery,4,0.02,41.84041666666666,53.25,25.416666666666668,4.7304376872939775
Balanced Recovery,4,0.05,41.51425,51.958333333333336,27.25,4.819892151557931
Balanced Recovery,4,0.1,41.298,52.541666666666664,27.791666666666668,4.586871792544243
Balanced Recovery,5,0.02,35.43275,44.75,23.083333333333332,3.9977267976713766
Balanced Recovery,5,0.05,35.60425,44.75,21.75,3.660975211584066
Balanced Recovery,5,0.1,35.329,44.458333333333336,22.291666666666668,3.7317313637607787
Dynamic AI,3,0.02,53.96608333333334,77.5,35.625,7.517283604673045
Dynamic AI,3,0.05,53.81325,78.70833333333333,33.958333333333336,7.820414959222788
Dynamic AI,3,0.1,53.94708333333334,74.41666666666667,36.666666666666664,7.3059849756808415
Dynamic AI,4,0.02,45.468833333333336,57.291666666666664,28.916666666666668,5.213383406064897
Dynamic AI,4,0.05,45.428916666666666,58.833333333333336,27.375,5.3590383459823885
Dynamic AI,4,0.1,45.24933333333333,57.458333333333336,30.916666666666668,5.024158082703118
Dynamic AI,5,0.02,39.653,48.791666666666664,27.541666666666668,4.171250905024748
Dynamic AI,5,0.05,39.33991666666667,48.833333333333336,25.791666666666668,3.987243473836331
Dynamic AI,5,0.1,39.59558333333334,47.875,27.375,4.089952519372499
Emergency Survival,3,0.02,69.22708333333333,104.83333333333333,40.458333333333336,11.581326110251782
Emergency Survival,3,0.05,68.10591666666667,108.95833333333333,35.583333333333336,11.959982150219421
Emergency Survival,3,0.1,68.63216666666668,108.625,37.416666666666664,11.969684603387202
Emergency Survival,4,0.02,57.03,81.08333333333333,36.083333333333336,8.165302174259795
Emergency Survival,4,0.05,57.047583333333336,83.91666666666667,32.625,8.080481103905543
Emergency Survival,4,0.1,57.04666666666667,82.625,37.25,8.325780394822461
Emergency Survival,5,0.02,49.03525,65.04166666666667,32.666666666666664,6.415808058245444
Emergency Survival,5,0.05,49.33683333333334,65.25,31.375,6.410469052803693
Emergency Survival,5,0.1,48.8305,66.125,27.333333333333332,6.244973398390448
Energy Conservative,3,0.02,45.76866666666666,60.125,19.958333333333332,5.743329309032598
Energy Conservative,3,0.05,45.593916666666665,59.666666666666664,21.375,5.5091226713762795
Energy Conservative,3,0.1,45.44808333333334,59.791666666666664,26.708333333333332,5.453628433571609
Energy Conservative,4,0.02,37.817,47.833333333333336,23.041666666666668,4.089925036837133
Energy Conservative,4,0.05,37.68966666666667,47.5,23.75,4.285652312378632
Energy Conservative,4,0.1,37.650666666666666,47.083333333333336,24.375,4.2130807795323975
Energy Conservative,5,0.02,31.6015,39.0,19.708333333333332,3.293603490625804
Energy Conservative,5,0.05,31.588583333333332,38.916666666666664,20.666666666666668,3.406303559553098
Energy Conservative,5,0.1,31.7645,38.958333333333336,22.666666666666668,3.2443081334815265
Maximum Output,3,0.02,36.41683333333334,44.208333333333336,22.666666666666668,3.7616820525983843
Maximum Output,3,0.05,36.092333333333336,44.583333333333336,25.916666666666668,3.4867005009017062
Maximum Output,3,0.1,36.018,44.958333333333336,21.541666666666668,3.763400446590603
Maximum Output,4,0.02,29.388166666666667,35.291666666666664,20.458333333333332,3.0134343901348335
Maximum Output,4,0.05,29.04575,34.833333333333336,20.0,2.8663763657265147
Maximum Output,4,0.1,28.772916666666667,35.041666666666664,19.5,2.842673505999643
Maximum Output,5,0.02,24.340083333333332,28.291666666666668,17.541666666666668,2.2251449778135854
Maximum Output,5,0.05,24.09925,28.291666666666668,16.0,2.2700114248645984
Maximum Output,5,0.1,24.038666666666668,28.25,16.125,2.1575841569552368
Medical Priority,3,0.02,51.74041666666666,69.66666666666667,35.25,6.618952012137416
Medical Priority,3,0.05,50.5735,67.625,32.25,6.73414986955279
Medical Priority,3,0.1,50.99333333333333,67.08333333333333,30.625,6.374119147059689
Medical Priority,4,0.02,42.543166666666664,55.166666666666664,26.708333333333332,5.039648574493827
Medical Priority,4,0.05,42.94691666666667,55.5,29.541666666666668,4.893975617927045
Medical Priority,4,0.1,42.03783333333334,54.833333333333336,24.583333333333332,4.994035133307967
Medical Priority,5,0.02,36.9115,46.416666666666664,23.333333333333332,3.8259120059898652
Medical Priority,5,0.05,36.47558333333333,45.916666666666664,24.833333333333332,4.042730640242945
Medical Priority,5,0.1,36.102,46.958333333333336,23.041666666666668,4.242776669031976
Normal,3,0.02,41.32025,52.375,26.458333333333332,4.3883558512511245
Normal,3,0.05,40.84891666666667,51.75,28.041666666666668,4.373098984990004
Normal,3,0.1,40.68525,52.375,28.041666666666668,4.245667866699442
Normal,4,0.02,34.325583333333334,42.416666666666664,22.583333333333332,3.5292084619346493
Normal,4,0.05,33.69275,42.208333333333336,18.583333333333332,3.603433098050899
Normal,4,0.1,33.616416666666666,41.75,23.458333333333332,3.362263703341917
Normal,5,0.02,28.53875,34.166666666666664,19.291666666666668,2.8323683410619487
Normal,5,0.05,28.3515,33.916666666666664,18.875,2.71384001098267
Normal,5,0.1,28.271583333333332,33.833333333333336,17.958333333333332,2.8093425880143994
Stealth Mode,3,0.02,59.95366666666666,89.125,35.333333333333336,9.258575820839733
Stealth Mode,3,0.05,59.650083333333335,90.08333333333333,34.625,9.231058339303637
Stealth Mode,3,0.1,59.76241666666667,88.79166666666667,34.833333333333336,9.052909441696213
Stealth Mode,4,0.02,49.56191666666666,65.875,29.291666666666668,6.666926269891183
Stealth Mode,4,0.05,49.56,68.58333333333333,28.125,6.677088026154665
Stealth Mode,4,0.1,49.657916666666665,67.875,30.916666666666668,6.1761307541134585
Stealth Mode,5,0.02,43.4815,55.708333333333336,26.375,4.894154753530273
Stealth Mode,5,0.05,43.315,55.666666666666664,28.583333333333332,4.8774652057874635
Stealth Mode,5,0.1,43.51241666666667,55.583333333333336,26.75,4.684362249749025
